,data,el_madrugada,ws_madrugada,el_manha,ws_manha,el_tarde,ws_tarde,el_noite,ws_noite
1,2019-01-01,0.0275,2.950333333333333,0.060333333333333336,3.764833333333333,0.0965,4.356,0.14300000000000002,5.071000000000001
2,2019-01-02,0.11383333333333333,4.673666666666667,0.043333333333333335,3.2185,0.003166666666666667,1.6799999999999995,0.0175,2.585
3,2019-01-03,0.0045,1.8208333333333333,0.015166666666666669,2.2786666666666666,0.19083333333333333,5.549166666666667,0.05566666666666666,3.567166666666667
4,2019-01-04,0.036333333333333336,3.152333333333333,0.008833333333333334,2.1491666666666664,0.03133333333333333,3.0145,0.021666666666666667,2.720166666666666
5,2019-01-05,0.0205,2.6955,0.04466666666666667,3.3725,0.1366666666666667,4.981166666666667,0.1405,5.035833333333334
6,2019-01-06,0.14400000000000002,5.089,0.10766666666666663,4.582833333333333,0.07183333333333332,3.9605,0.131,4.917333333333334
7,2019-01-07,0.09583333333333333,4.394333333333333,0.07033333333333333,3.9731666666666667,0.021,2.6556666666666664,0.009333333333333334,2.156833333333333
8,2019-01-08,0.013333333333333336,2.381,0.002,1.5246666666666666,0.0405,3.1528333333333336,0.057,3.690333333333333
9,2019-01-09,0.05716666666666668,3.679,0.06716666666666668,3.874333333333334,0.006333333333333334,1.6856666666666664,0.014666666666666668,2.4365
10,2019-01-10,0.010333333333333332,2.233833333333333,0.03233333333333333,3.0590000000000006,0.005,1.7676666666666667,0.008666666666666668,1.887
11,2019-01-11,0.0035,1.5501666666666667,0.011333333333333334,2.2968333333333337,0.028833333333333325,2.8353333333333333,0.032499999999999994,3.060166666666667
12,2019-01-12,0.025,2.8626666666666662,0.036166666666666666,3.182166666666667,0.0725,3.9965,0.07833333333333332,4.121166666666666
13,2019-01-13,0.053333333333333344,3.5580000000000003,0.02183333333333333,2.7206666666666663,0.00816666666666667,1.9961666666666664,0.024500000000000004,2.8395
14,2019-01-14,0.01716666666666667,2.561333333333333,0.0028333333333333327,1.5991666666666668,0.0,0.7843333333333334,0.0018333333333333333,1.273
15,2019-01-15,0.0023333333333333327,1.580833333333333,0.0008333333333333334,1.1763333333333332,0.0023333333333333327,1.3728333333333331,0.02316666666666667,2.7776666666666667
16,2019-01-16,0.02633333333333333,2.899833333333333,0.0255,2.8675,0.034833333333333334,3.1251666666666664,0.006166666666666668,1.8691666666666664
17,2019-01-17,0.0038333333333333327,1.7086666666666668,0.004,1.6351666666666669,0.018500000000000003,2.4035,0.09016666666666666,4.307666666666667
18,2019-01-18,0.08900000000000001,4.286333333333333,0.1135,4.669666666666667,0.19966666666666666,5.700166666666667,0.18033333333333332,5.4304999999999986
19,2019-01-19,0.04066666666666666,3.297166666666667,0.2085,5.687833333333334,0.19,5.578333333333332,0.058666666666666666,3.7111666666666667
20,2019-01-20,0.03883333333333334,3.2741666666666664,0.06416666666666666,3.827166666666667,0.07083333333333333,3.980833333333333,0.032,3.068833333333333
21,2019-01-21,0.017333333333333333,2.5595000000000003,0.0031666666666666666,1.2848333333333335,0.02733333333333333,2.8716666666666666,0.01683333333333334,2.509
22,2019-01-22,0.0075,2.0605,0.0018333333333333333,1.4055,0.043,3.281166666666666,0.07583333333333334,4.075
23,2019-01-23,0.03833333333333334,3.2463333333333337,0.013999999999999999,2.289833333333333,0.002,1.4336666666666666,0.007333333333333333,2.0236666666666667
24,2019-01-24,0.013333333333333334,2.3793333333333333,0.050666666666666665,3.4986666666666664,0.08600000000000001,4.2523333333333335,0.0695,3.958
25,2019-01-25,0.0555,3.678833333333333,0.10416666666666667,4.5075,0.13633333333333333,4.978833333333333,0.1198333333333333,4.714166666666666
26,2019-01-26,0.055333333333333325,3.658833333333334,0.0815,4.142333333333333,0.11116666666666668,4.627833333333334,0.10249999999999998,4.51
27,2019-01-27,0.060166666666666674,3.765833333333333,0.03216666666666667,3.0638333333333336,0.0595,3.673666666666667,0.093,4.363666666666666
28,2019-01-28,0.062,3.7603333333333335,0.012666666666666668,2.2976666666666667,0.001,1.1731666666666667,0.004333333333333332,1.733666666666667
29,2019-01-29,0.001666666666666667,1.436,0.0006666666666666666,1.187,0.0,0.9276666666666666,0.0055000000000000005,1.7918333333333332
30,2019-01-30,0.005333333333333333,1.8836666666666664,0.0030000000000000005,1.6695,0.00816666666666667,2.0796666666666663,0.0005,0.9335
31,2019-01-31,0.0005,1.0166666666666668,0.002166666666666667,1.569,0.0075000000000000015,2.052833333333333,0.0038333333333333327,1.7548333333333332
32,2019-02-01,0.0038333333333333327,1.7321666666666664,0.0011666666666666668,1.3601666666666663,0.002166666666666667,1.2816666666666665,0.014333333333333337,2.4113333333333338
33,2019-02-02,0.0075000000000000015,1.8291666666666664,0.021333333333333333,2.5789999999999997,0.025000000000000005,2.841666666666667,0.1315,4.8475
34,2019-02-03,0.05166666666666666,3.588833333333333,0.09516666666666666,4.380166666666667,0.06166666666666665,3.781166666666666,0.025,2.855833333333333
35,2019-02-04,0.012833333333333335,2.343166666666667,0.0105,2.2336666666666667,0.02183333333333333,2.744333333333333,0.02083333333333333,2.7206666666666663
36,2019-02-05,0.011666666666666669,2.3075,0.010833333333333334,2.267666666666667,0.016666666666666666,2.547333333333333,0.0065,1.9753333333333332
37,2019-02-06,0.0036666666666666666,1.727666666666667,0.0011666666666666668,1.3243333333333331,0.02983333333333333,2.9119999999999995,0.04233333333333333,3.3623333333333334
38,2019-02-07,0.03066666666666666,3.0043333333333337,0.009666666666666669,2.177833333333333,0.012500000000000002,2.2415,0.021333333333333333,2.728166666666666
