,data,idr_manha,idr_tarde,idf_manha,idf_tarde,tmp_manha,tmp_tarde,ws_manha,ws_tarde,wind_electricity,pv_electricity
0,2019-01-01,0.17216666666666666,0.464,0.165,0.22883333333333336,25.70333333333333,28.93283333333333,3.7648333333333333,4.356,1.0790000000000002,4.990999999999999
1,2019-01-02,0.2778333333333334,0.5686666666666667,0.10866666666666668,0.1765,26.207666666666668,31.3565,3.2185,1.6799999999999995,0.29600000000000004,5.348999999999998
2,2019-01-03,0.004,0.02283333333333333,0.13183333333333333,0.3003333333333333,26.98983333333333,25.18383333333333,2.2786666666666666,5.549166666666667,1.371,2.306
3,2019-01-04,0.2555,0.5476666666666666,0.12033333333333335,0.1875,21.721,24.702,2.1491666666666664,3.0145,0.28,5.436
4,2019-01-05,0.223,0.4665000000000001,0.13483333333333333,0.22116666666666665,21.689166666666665,24.41133333333333,3.3725,4.981166666666667,1.256,5.193
5,2019-01-06,0.1485,0.25299999999999995,0.17916666666666667,0.32866666666666666,23.7615,27.409,4.582833333333333,3.9605,1.2000000000000002,4.459999999999999
6,2019-01-07,0.18466666666666667,0.18916666666666668,0.1685,0.2926666666666667,25.83166666666667,29.28333333333333,3.9731666666666663,2.6556666666666664,0.56,3.991
7,2019-01-08,0.10000000000000002,0.03733333333333333,0.2105,0.2993333333333333,25.51466666666667,25.914666666666665,1.5246666666666666,3.1528333333333336,0.325,3.216
8,2019-01-09,0.042666666666666665,0.07416666666666667,0.20466666666666666,0.35716666666666663,25.325499999999995,29.40183333333333,3.874333333333334,1.6856666666666664,0.4460000000000001,3.384
9,2019-01-10,0.1711666666666667,0.26166666666666666,0.16316666666666665,0.28300000000000003,25.655500000000004,30.50883333333333,3.0590000000000006,1.7676666666666667,0.22400000000000006,4.143999999999999
10,2019-01-11,0.0625,0.2833333333333333,0.207,0.3126666666666667,23.78183333333334,25.7545,2.2968333333333337,2.8353333333333333,0.297,4.235
11,2019-01-12,0.026166666666666668,0.036000000000000004,0.19866666666666666,0.3266666666666667,23.260833333333334,24.95733333333333,3.182166666666667,3.9965,0.738,2.963
12,2019-01-13,0.25633333333333336,0.3296666666666667,0.12633333333333335,0.2861666666666667,24.75716666666667,27.94833333333333,2.7206666666666663,1.9961666666666664,0.205,4.803
13,2019-01-14,0.21333333333333332,0.16933333333333336,0.153,0.31566666666666665,25.932166666666664,29.023,1.5991666666666668,0.7843333333333334,0.017,4.114
14,2019-01-15,0.14,0.2203333333333333,0.18266666666666667,0.32283333333333325,26.206000000000003,28.925500000000003,1.1763333333333332,1.3728333333333331,0.032,4.175999999999998
15,2019-01-16,0.04,0.02800000000000001,0.21033333333333332,0.2896666666666667,26.435666666666666,28.094000000000005,2.8675,3.1251666666666664,0.377,2.805
16,2019-01-17,0.03833333333333334,0.024000000000000004,0.21133333333333332,0.2858333333333333,24.88583333333333,25.90016666666667,1.6351666666666669,2.4035,0.211,2.7950000000000004
17,2019-01-18,0.04916666666666667,0.095,0.2075,0.3506666666666667,23.60466666666667,26.21333333333333,4.669666666666667,5.700166666666667,2.117,3.464
18,2019-01-19,0.0525,0.08849999999999998,0.20866666666666667,0.361,21.555000000000003,21.564,5.687833333333334,5.578333333333332,2.4870000000000005,3.657
19,2019-01-20,0.16166666666666665,0.13,0.17400000000000002,0.3516666666666666,21.645166666666668,23.32,3.827166666666667,3.980833333333333,0.8570000000000002,4.157
20,2019-01-21,0.126,0.3145000000000001,0.18083333333333326,0.3028333333333333,23.07866666666667,25.576166666666666,1.2848333333333335,2.8716666666666666,0.21900000000000006,4.5950000000000015
21,2019-01-22,0.3306666666666666,0.7158333333333334,0.075,0.11283333333333333,23.880666666666666,27.249166666666664,1.4055,3.281166666666666,0.361,5.896
22,2019-01-23,0.056333333333333326,0.03383333333333334,0.2098333333333333,0.28750000000000003,24.911666666666665,27.785500000000006,2.289833333333333,1.4336666666666666,0.09900000000000002,2.907
23,2019-01-24,0.11166666666666664,0.3933333333333333,0.18416666666666667,0.2625,25.390666666666664,26.57333333333333,3.4986666666666664,4.2523333333333335,0.8969999999999999,4.720999999999999
24,2019-01-25,0.2896666666666667,0.6826666666666666,0.09966666666666668,0.13066666666666668,23.97916666666667,26.707666666666668,4.5075,4.978833333333333,1.62,5.768999999999999
25,2019-01-26,0.3138333333333333,0.6968333333333333,0.08483333333333333,0.12300000000000001,25.14916666666667,28.38516666666667,4.142333333333333,4.627833333333334,1.2879999999999998,5.792000000000002
26,2019-01-27,0.32049999999999995,0.6248333333333332,0.0815,0.15300000000000002,25.84950000000001,29.22916666666667,3.0638333333333336,3.673666666666667,0.6569999999999999,5.601
27,2019-01-28,0.3135000000000001,0.6016666666666667,0.08750000000000001,0.16583333333333336,26.866666666666664,31.79483333333333,2.2976666666666667,1.1731666666666667,0.08300000000000002,5.477
28,2019-01-29,0.2005,0.503,0.14516666666666667,0.21433333333333332,27.78833333333333,32.342499999999994,1.187,0.9276666666666666,0.004,5.0169999999999995
29,2019-01-30,0.051833333333333335,0.4556666666666666,0.19083333333333333,0.2438333333333333,27.12833333333333,32.56233333333333,1.6695,2.0796666666666663,0.06800000000000002,4.4910000000000005
30,2019-01-31,0.10683333333333334,0.22266666666666668,0.19066666666666665,0.3323333333333333,28.061666666666664,30.63966666666667,1.569,2.052833333333333,0.066,4.0939999999999985
31,2019-02-01,0.2358333333333333,0.5589999999999999,0.1265,0.18966666666666665,26.72916666666667,30.9215,1.3601666666666663,1.2816666666666665,0.037000000000000005,5.254
