,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,idirect_aumento,idirect_aceleracao,idirect_media_movel_dia,idirect_media_movel_semana,idirect_crescimento,idiffuse_aumento,idiffuse_aceleracao,idiffuse_media_movel_dia,idiffuse_media_movel_semana,idiffuse_crescimento,temp_aumento,temp_aceleracao,temp_media_movel_dia,temp_media_movel_semana,temp_crescimento
4038,2019-06-18 03:00:00,0.0,0.0,0.0,18.316,0.0,0.0,0.19545833333333307,0.14465476190476176,0.0,0.0,0.0,0.03266666666666679,0.04474404761904761,0.0,-0.08200000000000074,0.02400000000000091,20.00504166666665,20.45488095238096,-0.0
4039,2019-06-18 04:00:00,0.0,0.0,0.0,18.185,0.0,0.0,0.19545833333333307,0.14465476190476176,0.0,0.0,0.0,0.03266666666666679,0.04474404761904761,0.0,-0.13100000000000023,-0.04899999999999949,19.98591666666665,20.46267857142858,-0.01
4040,2019-06-18 05:00:00,0.0,0.0,0.0,18.051,0.0,0.0,0.19545833333333307,0.14465476190476176,0.0,0.0,0.0,0.03266666666666679,0.04474404761904761,0.0,-0.13400000000000034,-0.0030000000000001137,19.96429166666665,20.470166666666675,-0.01
4041,2019-06-18 06:00:00,0.0,0.0,0.0,17.944000000000003,0.0,0.0,0.19545833333333307,0.14465476190476176,0.0,0.0,0.0,0.03266666666666679,0.04474404761904761,0.0,-0.10699999999999577,0.027000000000004576,19.944374999999983,20.47723214285715,-0.01
4042,2019-06-18 07:00:00,0.002,0.001,0.008,17.899,0.001,0.001,0.19408333333333308,0.1446130952380951,0.0,0.008,0.008,0.03233333333333346,0.04470238095238094,0.0,-0.045000000000001705,0.06199999999999406,19.92404166666665,20.4839880952381,-0.0
4043,2019-06-18 08:00:00,0.06,0.015,0.067,18.7,0.013999999999999999,0.012999999999999998,0.18283333333333307,0.14441071428571414,14.0,0.059000000000000004,0.051000000000000004,0.03266666666666678,0.04461904761904761,7.38,0.8009999999999984,0.8460000000000001,19.880874999999982,20.49107142857143,0.04
4044,2019-06-18 09:00:00,0.23399999999999999,0.126,0.152,19.822,0.111,0.097,0.1670833333333331,0.14363690476190463,7.4,0.08499999999999999,0.02599999999999999,0.035916666666666784,0.04475595238095237,1.27,1.1219999999999999,0.3210000000000015,19.83462499999998,20.498845238095242,0.06
4045,2019-06-18 10:00:00,0.462,0.396,0.159,21.199,0.27,0.15900000000000003,0.15616666666666643,0.14267261904761894,2.14,0.007000000000000006,-0.07799999999999999,0.03900000000000012,0.045035714285714276,0.05,1.3770000000000024,0.25500000000000256,19.802749999999982,20.506130952380957,0.07
4046,2019-06-18 11:00:00,0.588,0.584,0.14400000000000002,22.287,0.18799999999999994,-0.08200000000000007,0.14891666666666645,0.14178571428571415,0.47,-0.014999999999999986,-0.021999999999999992,0.04125000000000011,0.04529761904761904,-0.09,1.0879999999999974,-0.28900000000000503,19.785791666666647,20.50992261904762,0.05
4047,2019-06-18 12:00:00,0.601,0.604,0.147,23.094,0.020000000000000018,-0.16799999999999993,0.14104166666666643,0.14082142857142846,0.03,0.002999999999999975,0.01799999999999996,0.04366666666666678,0.04558333333333332,0.02,0.8070000000000022,-0.28099999999999525,19.78837499999998,20.51474404761905,0.04
