,date,pv_electricity,wind_electricity
0,2019-01-01,4.990999999999999,1.0790000000000002
1,2019-01-02,5.348999999999999,0.29600000000000004
2,2019-01-03,2.306,1.371
3,2019-01-04,5.436,0.27999999999999997
4,2019-01-05,5.193,1.256
5,2019-01-06,4.459999999999999,1.2000000000000002
6,2019-01-07,3.991,0.56
7,2019-01-08,3.2159999999999997,0.325
8,2019-01-09,3.384,0.44600000000000006
9,2019-01-10,4.143999999999999,0.22400000000000003
10,2019-01-11,4.235,0.297
11,2019-01-12,2.963,0.738
12,2019-01-13,4.803,0.20500000000000002
13,2019-01-14,4.114,0.017
14,2019-01-15,4.175999999999999,0.032
15,2019-01-16,2.805,0.377
16,2019-01-17,2.7950000000000004,0.21100000000000002
17,2019-01-18,3.464,2.117
18,2019-01-19,3.657,2.4870000000000005
19,2019-01-20,4.157,0.8570000000000002
20,2019-01-21,4.595000000000001,0.21900000000000003
21,2019-01-22,5.896,0.361
22,2019-01-23,2.9069999999999996,0.09900000000000002
23,2019-01-24,4.720999999999999,0.8969999999999999
24,2019-01-25,5.768999999999999,1.62
25,2019-01-26,5.792000000000001,1.2879999999999998
26,2019-01-27,5.601,0.6569999999999999
27,2019-01-28,5.477,0.08300000000000002
28,2019-01-29,5.017,0.004
29,2019-01-30,4.491,0.06800000000000002
30,2019-01-31,4.093999999999999,0.066
31,2019-02-01,5.2540000000000004,0.037000000000000005
32,2019-02-02,4.237,0.34400000000000003
33,2019-02-03,4.153,0.9780000000000001
34,2019-02-04,4.862,0.22
35,2019-02-05,5.714,0.17500000000000004
36,2019-02-06,5.699000000000001,0.23399999999999999
37,2019-02-07,5.909,0.162
38,2019-02-08,5.821,0.033
39,2019-02-09,5.357,0.128
40,2019-02-10,2.752,0.08700000000000002
41,2019-02-11,4.279999999999999,0.017
42,2019-02-12,3.9080000000000004,2.8510000000000004
43,2019-02-13,5.508000000000001,0.22300000000000003
44,2019-02-14,5.579000000000001,0.875
45,2019-02-15,2.206,1.063
46,2019-02-16,5.428,1.261
47,2019-02-17,5.543999999999999,1.063
48,2019-02-18,4.607,1.034
49,2019-02-19,4.407,0.07900000000000001
50,2019-02-20,5.795,0.036
51,2019-02-21,5.6179999999999986,0.448
52,2019-02-22,5.909,0.22400000000000003
53,2019-02-23,5.8260000000000005,0.026000000000000002
54,2019-02-24,4.721000000000001,1.052
55,2019-02-25,3.604,1.0270000000000001
56,2019-02-26,3.3880000000000003,0.047000000000000014
57,2019-02-27,4.104,0.22799999999999998
58,2019-02-28,5.623000000000001,0.048
59,2019-03-01,5.894,0.10999999999999999
60,2019-03-02,6.060999999999999,0.33799999999999997
61,2019-03-03,5.695000000000001,0.17300000000000001
62,2019-03-04,5.836,1.2990000000000002
63,2019-03-05,4.812,0.08900000000000001
64,2019-03-06,2.4030000000000005,0.27099999999999996
65,2019-03-07,4.249,0.089
66,2019-03-08,2.42,0.07600000000000001
67,2019-03-09,2.381,1.462
68,2019-03-10,4.7459999999999996,0.971
69,2019-03-11,4.846000000000001,1.3680000000000003
70,2019-03-12,2.922,0.332
71,2019-03-13,4.1339999999999995,0.388
72,2019-03-14,5.906999999999999,0.393
73,2019-03-15,5.227,0.09
74,2019-03-16,5.037,1.175
75,2019-03-17,2.521,2.1020000000000003
76,2019-03-18,4.025,0.13600000000000004
77,2019-03-19,5.610999999999999,0.8969999999999999
78,2019-03-20,3.508,0.9119999999999998
79,2019-03-21,5.518,0.4720000000000001
80,2019-03-22,4.057,0.599
81,2019-03-23,5.9670000000000005,0.28
82,2019-03-24,5.828,0.086
83,2019-03-25,6.0569999999999995,1.254
84,2019-03-26,5.688000000000001,0.3600000000000001
85,2019-03-27,4.258,0.7470000000000001
86,2019-03-28,4.917,1.703
87,2019-03-29,4.341,1.7210000000000003
88,2019-03-30,4.867999999999999,0.24000000000000002
89,2019-03-31,2.4110000000000005,0.087
90,2019-04-01,5.340000000000001,0.635
91,2019-04-02,4.7010000000000005,0.15600000000000003
92,2019-04-03,5.222999999999999,0.094
93,2019-04-04,3.4080000000000004,0.10500000000000001
94,2019-04-05,2.9630000000000005,2.5780000000000003
95,2019-04-06,3.0949999999999998,0.42899999999999994
96,2019-04-07,1.8330000000000002,0.19700000000000006
97,2019-04-08,5.1000000000000005,0.20400000000000001
98,2019-04-09,5.678000000000002,0.46099999999999997
99,2019-04-10,5.699000000000001,0.9279999999999999
100,2019-04-11,5.628,0.08900000000000001
101,2019-04-12,4.063,0.273
102,2019-04-13,4.036,0.21400000000000002
103,2019-04-14,4.4350000000000005,0.009000000000000001
104,2019-04-15,4.835,0.31200000000000006
105,2019-04-16,1.135,1.594
106,2019-04-17,4.4110000000000005,0.7340000000000002
107,2019-04-18,5.052999999999999,0.09200000000000003
108,2019-04-19,4.295999999999999,0.065
109,2019-04-20,5.380999999999999,0.146
110,2019-04-21,2.626,0.21600000000000003
111,2019-04-22,4.744,0.07900000000000001
112,2019-04-23,3.9850000000000003,0.7349999999999999
113,2019-04-24,5.111000000000001,0.22300000000000006
114,2019-04-25,2.976,0.5630000000000001
115,2019-04-26,1.8510000000000002,1.3990000000000002
116,2019-04-27,1.5949999999999998,0.06900000000000002
117,2019-04-28,1.295,1.303
118,2019-04-29,5.395999999999999,0.06900000000000002
119,2019-04-30,5.502,0.022
120,2019-05-01,3.6069999999999993,0.09600000000000003
121,2019-05-02,5.126,0.008
122,2019-05-03,4.41,0.030000000000000006
123,2019-05-04,1.563,0.07900000000000001
124,2019-05-05,1.981,0.07200000000000001
125,2019-05-06,1.774,0.91
