,data,idr_manha,idr_tarde,idf_manha,idf_tarde,tmp_manha,tmp_tarde
0,2019-01-01,0.17216666666666666,0.46399999999999997,0.165,0.22883333333333336,25.703333333333333,28.93283333333333
1,2019-01-02,0.2778333333333334,0.5686666666666667,0.10866666666666668,0.1765,26.207666666666668,31.3565
2,2019-01-03,0.004,0.022833333333333334,0.13183333333333333,0.3003333333333333,26.989833333333333,25.18383333333333
3,2019-01-04,0.2555,0.5476666666666666,0.12033333333333335,0.1875,21.721,24.701999999999998
4,2019-01-05,0.223,0.4665000000000001,0.13483333333333333,0.22116666666666665,21.689166666666665,24.41133333333333
5,2019-01-06,0.1485,0.25299999999999995,0.17916666666666667,0.32866666666666666,23.7615,27.409000000000002
6,2019-01-07,0.18466666666666667,0.18916666666666668,0.1685,0.2926666666666667,25.831666666666667,29.283333333333335
7,2019-01-08,0.10000000000000002,0.03733333333333333,0.2105,0.29933333333333334,25.514666666666667,25.914666666666665
8,2019-01-09,0.042666666666666665,0.07416666666666667,0.20466666666666666,0.35716666666666663,25.325499999999995,29.401833333333332
9,2019-01-10,0.1711666666666667,0.26166666666666666,0.16316666666666665,0.283,25.655500000000004,30.508833333333328
10,2019-01-11,0.0625,0.28333333333333327,0.207,0.3126666666666667,23.78183333333334,25.754499999999997
11,2019-01-12,0.026166666666666668,0.036,0.19866666666666666,0.3266666666666667,23.260833333333338,24.957333333333334
12,2019-01-13,0.25633333333333336,0.3296666666666667,0.12633333333333335,0.2861666666666667,24.757166666666667,27.948333333333334
13,2019-01-14,0.21333333333333335,0.16933333333333334,0.153,0.31566666666666665,25.932166666666664,29.022999999999996
14,2019-01-15,0.14,0.2203333333333333,0.18266666666666667,0.32283333333333325,26.206000000000003,28.925500000000003
15,2019-01-16,0.04,0.028000000000000008,0.21033333333333334,0.2896666666666667,26.435666666666663,28.094000000000005
16,2019-01-17,0.03833333333333334,0.024000000000000004,0.21133333333333335,0.28583333333333333,24.885833333333334,25.900166666666667
17,2019-01-18,0.04916666666666667,0.09500000000000001,0.20750000000000002,0.3506666666666667,23.60466666666667,26.213333333333335
18,2019-01-19,0.0525,0.08849999999999998,0.20866666666666667,0.361,21.555000000000003,21.563999999999997
19,2019-01-20,0.16166666666666665,0.13,0.17400000000000002,0.3516666666666666,21.645166666666668,23.319999999999997
20,2019-01-21,0.126,0.31450000000000006,0.18083333333333332,0.30283333333333334,23.078666666666667,25.576166666666666
21,2019-01-22,0.3306666666666666,0.7158333333333334,0.075,0.11283333333333333,23.880666666666666,27.249166666666664
22,2019-01-23,0.056333333333333326,0.03383333333333334,0.20983333333333332,0.28750000000000003,24.911666666666665,27.785500000000003
23,2019-01-24,0.11166666666666665,0.39333333333333326,0.18416666666666667,0.2625,25.390666666666664,26.573333333333334
24,2019-01-25,0.2896666666666667,0.6826666666666666,0.09966666666666668,0.13066666666666668,23.979166666666668,26.707666666666668
25,2019-01-26,0.31383333333333335,0.6968333333333333,0.08483333333333333,0.123,25.14916666666667,28.385166666666667
26,2019-01-27,0.32049999999999995,0.6248333333333332,0.0815,0.15300000000000002,25.849500000000006,29.229166666666668
27,2019-01-28,0.31350000000000006,0.6016666666666667,0.08750000000000001,0.16583333333333336,26.866666666666664,31.794833333333333
28,2019-01-29,0.20049999999999998,0.503,0.14516666666666667,0.21433333333333335,27.78833333333333,32.342499999999994
29,2019-01-30,0.051833333333333335,0.45566666666666666,0.19083333333333333,0.24383333333333335,27.128333333333334,32.562333333333335
30,2019-01-31,0.10683333333333334,0.22266666666666668,0.19066666666666665,0.3323333333333333,28.061666666666664,30.639666666666667
31,2019-02-01,0.23583333333333334,0.5589999999999999,0.1265,0.18966666666666665,26.729166666666668,30.921499999999998
32,2019-02-02,0.135,0.22483333333333333,0.18000000000000002,0.333,26.097666666666665,28.478333333333328
33,2019-02-03,0.06016666666666667,0.24333333333333332,0.19499999999999998,0.31166666666666665,21.8745,22.855000000000004
34,2019-02-04,0.18716666666666668,0.3598333333333333,0.15083333333333335,0.2765,22.108499999999996,23.891666666666666
35,2019-02-05,0.2645,0.6505,0.1095,0.14616666666666667,21.790666666666667,24.0655
36,2019-02-06,0.2708333333333333,0.6486666666666666,0.10633333333333334,0.14616666666666667,21.79383333333333,25.203999999999997
37,2019-02-07,0.3265,0.7063333333333333,0.079,0.12316666666666666,22.563166666666664,26.701333333333334
38,2019-02-08,0.3295,0.6973333333333334,0.075,0.123,24.14,28.346500000000002
39,2019-02-09,0.2753333333333334,0.5788333333333334,0.10216666666666668,0.1758333333333333,25.686833333333336,30.457166666666666
40,2019-02-10,0.030333333333333334,0.036166666666666666,0.18633333333333335,0.3075,26.753500000000003,29.3215
41,2019-02-11,0.14666666666666667,0.3206666666666667,0.16749999999999998,0.2701666666666666,25.935333333333332,29.785666666666668
42,2019-02-12,0.149,0.1391666666666667,0.16616666666666666,0.32383333333333336,23.677333333333333,23.323000000000004
43,2019-02-13,0.2505,0.5881666666666666,0.11266666666666668,0.17133333333333334,21.380499999999998,24.049166666666665
44,2019-02-14,0.315,0.587,0.08316666666666667,0.169,22.465833333333336,25.822
45,2019-02-15,0.013333333333333334,0.013833333333333331,0.16066666666666668,0.24233333333333332,22.538833333333333,23.480500000000003
46,2019-02-16,0.25016666666666665,0.572,0.11216666666666668,0.17600000000000002,23.101833333333335,25.055333333333333
47,2019-02-17,0.4211666666666667,0.46399999999999997,0.1225,0.16083333333333333,23.376333333333335,24.537666666666667
