,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,idirect_aumento,idirect_aceleracao,idirect_media_movel_dia,idirect_media_movel_semana,idirect_crescimento,idiffuse_aumento,idiffuse_aceleracao,idiffuse_media_movel_dia,idiffuse_media_movel_semana,idiffuse_crescimento,temp_aumento,temp_aceleracao,temp_media_movel_dia,temp_media_movel_semana,temp_crescimento
1009,2019-02-11 23:00:00,0.0,0.0,0.0,24.557,0.0,0.0,0.11691666666666667,0.19184523809523812,0.0,0.0,0.0,0.11275,0.080625,0.0,-0.18700000000000117,0.09600000000000009,26.479541666666666,24.56471428571428,-0.01
1010,2019-02-12 00:00:00,0.0,0.0,0.0,24.49,0.0,0.0,0.11691666666666667,0.19184523809523812,0.0,0.0,0.0,0.11275,0.080625,0.0,-0.06700000000000017,0.120000000000001,26.451708333333332,24.589404761904763,-0.0
1011,2019-02-12 01:00:00,0.0,0.0,0.0,24.41,0.0,0.0,0.11691666666666667,0.19184523809523812,0.0,0.0,0.0,0.11275,0.080625,0.0,-0.0799999999999983,-0.012999999999998124,26.428124999999998,24.615130952380955,-0.0
1012,2019-02-12 02:00:00,0.0,0.0,0.0,24.428,0.0,0.0,0.11691666666666667,0.19184523809523812,0.0,0.0,0.0,0.11275,0.080625,0.0,0.018000000000000682,0.09799999999999898,26.41458333333333,24.642011904761905,0.0
1013,2019-02-12 03:00:00,0.0,0.0,0.0,24.426,0.0,0.0,0.11691666666666667,0.19184523809523812,0.0,0.0,0.0,0.11275,0.080625,0.0,-0.0020000000000024443,-0.020000000000003126,26.412541666666666,24.669589285714284,-0.0
1014,2019-02-12 04:00:00,0.0,0.0,0.0,24.276,0.0,0.0,0.11691666666666667,0.19184523809523812,0.0,0.0,0.0,0.11275,0.080625,0.0,-0.14999999999999858,-0.14799999999999613,26.41604166666667,24.696535714285716,-0.01
1015,2019-02-12 05:00:00,0.0,0.0,0.0,24.119,0.0,0.0,0.11691666666666667,0.19184523809523812,0.0,0.0,0.0,0.11275,0.080625,0.0,-0.15700000000000003,-0.0070000000000014495,26.420041666666666,24.72300595238095,-0.01
1016,2019-02-12 06:00:00,0.0,0.0,0.001,23.896,0.0,0.0,0.11691666666666667,0.19184523809523812,0.0,0.001,0.001,0.11275,0.08061904761904762,0.0,-0.22299999999999898,-0.06599999999999895,26.420999999999996,24.74847619047619,-0.01
1017,2019-02-12 07:00:00,0.037,0.0,0.058,23.574,0.0,0.0,0.11691666666666667,0.19184523809523812,0.0,0.057,0.056,0.11262499999999999,0.08056547619047619,57.0,-0.3219999999999992,-0.0990000000000002,26.392083333333332,24.767029761904766,-0.01
1018,2019-02-12 08:00:00,0.147,0.029,0.153,23.343,0.029,0.029,0.11649999999999999,0.19144642857142855,0.0,0.095,0.038,0.11254166666666666,0.08070238095238096,1.64,-0.23100000000000165,0.09099999999999753,26.329875,24.777095238095242,-0.01
1019,2019-02-12 09:00:00,0.296,0.119,0.236,23.429,0.09,0.061,0.11520833333333334,0.19026190476190477,3.1,0.08299999999999999,-0.01200000000000001,0.11291666666666667,0.08127380952380953,0.54,0.08599999999999852,0.31700000000000017,26.225583333333333,24.783250000000002,0.0
1020,2019-02-12 10:00:00,0.471,0.313,0.262,23.775,0.194,0.10400000000000001,0.11570833333333332,0.18901785714285713,1.63,0.026000000000000023,-0.05699999999999997,0.11287499999999999,0.08194047619047619,0.11,0.3460000000000001,0.26000000000000156,26.061375,24.787446428571428,0.01
1021,2019-02-12 11:00:00,0.577,0.433,0.287,24.047,0.12,-0.07400000000000001,0.1175,0.18772023809523808,0.38,0.024999999999999967,-0.0010000000000000564,0.11241666666666666,0.08264880952380953,0.1,0.272000000000002,-0.07399999999999807,25.855541666666664,24.79038690476191,0.01
1022,2019-02-12 12:00:00,0.574,0.361,0.356,24.045,-0.07200000000000001,-0.192,0.11325,0.18520833333333334,-0.17,0.069,0.04400000000000004,0.11429166666666667,0.08380357142857144,0.24,-0.0019999999999988916,-0.2740000000000009,25.61629166666667,24.79090476190476,-0.0
1023,2019-02-12 13:00:00,0.51,0.223,0.405,23.816,-0.13799999999999998,-0.06599999999999998,0.09870833333333333,0.1816785714285714,-0.38,0.049000000000000044,-0.019999999999999962,0.11941666666666667,0.08524999999999999,0.14,-0.22900000000000276,-0.22700000000000387,25.342375,24.78844047619048,-0.01
1024,2019-02-12 14:00:00,0.416,0.116,0.388,23.546,-0.107,0.030999999999999986,0.08004166666666666,0.17764880952380951,-0.48,-0.017000000000000015,-0.06600000000000006,0.12433333333333335,0.08664880952380953,-0.04,-0.2699999999999996,-0.04099999999999682,25.042625,24.783696428571428,-0.01
1025,2019-02-12 15:00:00,0.346,0.074,0.342,23.265,-0.04200000000000001,0.06499999999999999,0.07208333333333333,0.17406547619047621,-0.36,-0.045999999999999985,-0.02899999999999997,0.12470833333333335,0.08780952380952381,-0.12,-0.2809999999999988,-0.010999999999999233,24.74445833333333,24.777869047619046,-0.01
1026,2019-02-12 16:00:00,0.257,0.041,0.268,22.868,-0.032999999999999995,0.009000000000000015,0.07170833333333333,0.17114285714285715,-0.45,-0.07400000000000001,-0.028000000000000025,0.1245,0.08863690476190478,-0.22,-0.397000000000002,-0.11600000000000321,24.47566666666667,24.771,-0.02
1027,2019-02-12 17:00:00,0.166,0.02,0.184,22.398,-0.021,0.011999999999999993,0.072125,0.16945833333333335,-0.51,-0.08400000000000002,-0.010000000000000009,0.12583333333333332,0.08899404761904763,-0.31,-0.46999999999999886,-0.07299999999999685,24.239874999999998,24.763869047619046,-0.02
1028,2019-02-12 18:00:00,0.111,0.016,0.125,21.957,-0.004,0.017,0.07270833333333333,0.16888690476190477,-0.2,-0.059,0.025000000000000022,0.12829166666666666,0.08916071428571429,-0.32,-0.44099999999999895,0.028999999999999915,24.021333333333335,24.75750595238095,-0.02
1029,2019-02-12 19:00:00,0.014,0.0,0.028,21.354,-0.016,-0.012,0.07270833333333333,0.16888690476190477,-1.0,-0.097,-0.038000000000000006,0.12887500000000002,0.08907738095238095,-0.78,-0.6030000000000015,-0.1620000000000026,23.80920833333333,24.753190476190476,-0.03
1030,2019-02-12 20:00:00,0.0,0.0,0.0,20.835,0.0,0.016,0.07270833333333333,0.16888690476190477,0.0,-0.028,0.069,0.12887500000000002,0.08907738095238095,-1.0,-0.5189999999999984,0.08400000000000318,23.609375,24.752684523809524,-0.02
1031,2019-02-12 21:00:00,0.0,0.0,0.0,20.396,0.0,0.0,0.07270833333333333,0.16888690476190477,0.0,0.0,0.028,0.12887500000000002,0.08907738095238095,0.0,-0.43900000000000006,0.0799999999999983,23.416416666666663,24.751833333333334,-0.02
1032,2019-02-12 22:00:00,0.0,0.0,0.0,20.165,0.0,0.0,0.07270833333333333,0.16888690476190477,0.0,0.0,0.0,0.12887500000000002,0.08907738095238095,0.0,-0.23100000000000165,0.2079999999999984,23.225625000000004,24.750988095238096,-0.01
1033,2019-02-12 23:00:00,0.0,0.0,0.0,19.982,0.0,0.0,0.07270833333333333,0.16888690476190477,0.0,0.0,0.0,0.12887500000000002,0.08907738095238095,0.0,-0.18299999999999983,0.04800000000000182,23.035,24.75016666666667,-0.01
1034,2019-02-13 00:00:00,0.0,0.0,0.0,19.669,0.0,0.0,0.07270833333333333,0.16888690476190477,0.0,0.0,0.0,0.12887500000000002,0.08907738095238095,0.0,-0.31299999999999883,-0.129999999999999,22.834125,24.748464285714288,-0.02
1035,2019-02-13 01:00:00,0.0,0.0,0.0,19.466,0.0,0.0,0.07270833333333333,0.16888690476190477,0.0,0.0,0.0,0.12887500000000002,0.08907738095238095,0.0,-0.2029999999999994,0.10999999999999943,22.628125,24.746333333333332,-0.01
1036,2019-02-13 02:00:00,0.0,0.0,0.0,19.428,0.0,0.0,0.07270833333333333,0.16888690476190477,0.0,0.0,0.0,0.12887500000000002,0.08907738095238095,0.0,-0.038000000000000256,0.16499999999999915,22.41979166666667,24.744880952380953,-0.0
1037,2019-02-13 03:00:00,0.0,0.0,0.0,19.355,0.0,0.0,0.07270833333333333,0.16888690476190477,0.0,0.0,0.0,0.12887500000000002,0.08907738095238095,0.0,-0.0730000000000004,-0.03500000000000014,22.2085,24.743577380952377,-0.0
1038,2019-02-13 04:00:00,0.0,0.0,0.0,19.362,0.0,0.0,0.07270833333333333,0.16888690476190477,0.0,0.0,0.0,0.12887500000000002,0.08907738095238095,0.0,0.006999999999997897,0.0799999999999983,22.00375,24.743,0.0
1039,2019-02-13 05:00:00,0.0,0.0,0.0,19.394,0.0,0.0,0.07270833333333333,0.16888690476190477,0.0,0.0,0.0,0.12887500000000002,0.08907738095238095,0.0,0.03200000000000003,0.02500000000000213,21.806875,24.743315476190475,0.0
1040,2019-02-13 06:00:00,0.0,0.0,0.001,19.495,0.0,0.0,0.07270833333333333,0.16888690476190477,0.0,0.001,0.001,0.128875,0.08907142857142858,0.0,0.10100000000000264,0.06900000000000261,21.623499999999996,24.74493452380952,0.01
1041,2019-02-13 07:00:00,0.036,0.0,0.055,19.927,0.0,0.0,0.07270833333333333,0.16888690476190477,0.0,0.054,0.053,0.12875,0.08900595238095238,54.0,0.4319999999999986,0.33099999999999596,21.471541666666667,24.745071428571432,0.02
1042,2019-02-13 08:00:00,0.172,0.072,0.136,21.048,0.072,0.072,0.0745,0.1686904761904762,0.0,0.08100000000000002,0.027000000000000017,0.12804166666666666,0.08907738095238096,1.47,1.1209999999999987,0.6890000000000001,21.37591666666667,24.744208333333333,0.06
1043,2019-02-13 09:00:00,0.359,0.267,0.161,21.905,0.195,0.12300000000000001,0.08066666666666666,0.16837500000000002,2.71,0.024999999999999994,-0.05600000000000002,0.12491666666666666,0.08921428571428572,0.18,0.8570000000000029,-0.2639999999999958,21.312416666666667,24.74059523809524,0.04
1044,2019-02-13 10:00:00,0.543,0.512,0.155,22.66,0.245,0.04999999999999999,0.08895833333333332,0.16835119047619046,0.92,-0.006000000000000005,-0.031,0.12045833333333333,0.08923809523809523,-0.04,0.754999999999999,-0.10200000000000387,21.265958333333334,24.735315476190472,0.03
1045,2019-02-13 11:00:00,0.649,0.652,0.168,23.248,0.14,-0.10499999999999998,0.09808333333333334,0.16816071428571427,0.27,0.013000000000000012,0.019000000000000017,0.11549999999999999,0.08930357142857143,0.08,0.588000000000001,-0.16699999999999804,21.232666666666667,24.72855357142857,0.03
1046,2019-02-13 12:00:00,0.736,0.798,0.159,23.807,0.14600000000000002,0.006000000000000005,0.11629166666666668,0.16822619047619047,0.22,-0.009000000000000008,-0.02200000000000002,0.10729166666666667,0.08929761904761904,-0.05,0.5589999999999975,-0.029000000000003467,21.222749999999998,24.721363095238097,0.02
1047,2019-02-13 13:00:00,0.755,0.83,0.159,24.216,0.03199999999999992,-0.1140000000000001,0.14158333333333334,0.1683035714285714,0.04,0.0,0.009000000000000008,0.09704166666666668,0.08928571428571429,0.0,0.4090000000000025,-0.14999999999999503,21.239416666666667,24.714285714285715,0.02
1048,2019-02-13 14:00:00,0.712,0.753,0.17,24.398,-0.07699999999999996,-0.10899999999999987,0.168125,0.1681190476190476,-0.09,0.01100000000000001,0.01100000000000001,0.08795833333333335,0.08937500000000001,0.07,0.1819999999999986,-0.22700000000000387,21.274916666666666,24.7075119047619,0.01
1049,2019-02-13 15:00:00,0.582,0.524,0.205,24.279,-0.22899999999999998,-0.15200000000000002,0.18687499999999999,0.16723809523809524,-0.3,0.034999999999999976,0.023999999999999966,0.08225,0.08970833333333333,0.21,-0.11899999999999977,-0.3009999999999984,21.31716666666667,24.70070238095238,-0.0
1050,2019-02-13 16:00:00,0.456,0.361,0.195,23.983,-0.16300000000000003,0.06599999999999995,0.20020833333333335,0.16632738095238095,-0.31,-0.009999999999999981,-0.04499999999999996,0.07920833333333334,0.0900654761904762,-0.05,-0.2959999999999994,-0.1769999999999996,21.363625,24.69385119047619,-0.01
1051,2019-02-13 17:00:00,0.335,0.263,0.14,23.612,-0.09799999999999998,0.06500000000000006,0.21033333333333334,0.16599999999999998,-0.27,-0.05499999999999999,-0.04500000000000001,0.07737500000000001,0.09020238095238095,-0.28,-0.3710000000000022,-0.07500000000000284,21.414208333333335,24.687309523809528,-0.02
1052,2019-02-13 18:00:00,0.173,0.126,0.086,23.082,-0.137,-0.039000000000000035,0.21491666666666664,0.16601785714285716,-0.52,-0.05400000000000002,0.0009999999999999731,0.07575,0.09017261904761904,-0.39,-0.5299999999999976,-0.15899999999999537,21.461083333333335,24.68118452380952,-0.02
1053,2019-02-13 19:00:00,0.017,0.001,0.031,22.095,-0.125,0.01200000000000001,0.21495833333333333,0.16602380952380955,-0.99,-0.05499999999999999,-0.0009999999999999731,0.07587500000000001,0.09011309523809524,-0.64,-0.9870000000000019,-0.4570000000000043,21.491958333333333,24.674565476190477,-0.04
1054,2019-02-13 20:00:00,0.0,0.0,0.0,21.232,-0.001,0.124,0.21495833333333333,0.16602380952380955,-1.0,-0.031,0.023999999999999994,0.07587500000000001,0.09011309523809524,-1.0,-0.8629999999999995,0.12400000000000233,21.508499999999998,24.668571428571425,-0.04
1055,2019-02-13 21:00:00,0.0,0.0,0.0,21.043,0.0,0.001,0.21495833333333333,0.16602380952380955,0.0,0.0,0.031,0.07587500000000001,0.09011309523809524,0.0,-0.18900000000000006,0.6739999999999995,21.535458333333334,24.663666666666668,-0.01
1056,2019-02-13 22:00:00,0.0,0.0,0.0,20.942,0.0,0.0,0.21495833333333333,0.16602380952380955,0.0,0.0,0.0,0.07587500000000001,0.09011309523809524,0.0,-0.10099999999999909,0.08800000000000097,21.567833333333336,24.65967261904762,-0.0
1057,2019-02-13 23:00:00,0.0,0.0,0.0,20.886,0.0,0.0,0.21495833333333333,0.16602380952380955,0.0,0.0,0.0,0.07587500000000001,0.09011309523809524,0.0,-0.05600000000000094,0.04499999999999815,21.605499999999996,24.656464285714286,-0.0
1058,2019-02-14 00:00:00,0.0,0.0,0.0,20.776,0.0,0.0,0.21495833333333333,0.16602380952380955,0.0,0.0,0.0,0.07587500000000001,0.09011309523809524,0.0,-0.10999999999999943,-0.053999999999998494,21.651625,24.65367261904762,-0.01
1059,2019-02-14 01:00:00,0.0,0.0,0.0,20.642,0.0,0.0,0.21495833333333333,0.16602380952380955,0.0,0.0,0.0,0.07587500000000001,0.09011309523809524,0.0,-0.13400000000000034,-0.02400000000000091,21.700625,24.651363095238096,-0.01
1060,2019-02-14 02:00:00,0.0,0.0,0.0,20.448,0.0,0.0,0.21495833333333333,0.16602380952380955,0.0,0.0,0.0,0.07587500000000001,0.09011309523809524,0.0,-0.19399999999999906,-0.05999999999999872,21.743125000000003,24.64969047619048,-0.01
1061,2019-02-14 03:00:00,0.0,0.0,0.0,20.246,0.0,0.0,0.21495833333333333,0.16602380952380955,0.0,0.0,0.0,0.07587500000000001,0.09011309523809524,0.0,-0.20200000000000173,-0.008000000000002672,21.78025,24.64899404761905,-0.01
1062,2019-02-14 04:00:00,0.0,0.0,0.0,20.104,0.0,0.0,0.21495833333333333,0.16602380952380955,0.0,0.0,0.0,0.07587500000000001,0.09011309523809524,0.0,-0.14199999999999946,0.060000000000002274,21.811166666666665,24.649505952380952,-0.01
1063,2019-02-14 05:00:00,0.0,0.0,0.0,20.022,0.0,0.0,0.21495833333333333,0.16602380952380955,0.0,0.0,0.0,0.07587500000000001,0.09011309523809524,0.0,-0.08200000000000074,0.05999999999999872,21.837333333333333,24.651327380952385,-0.0
1064,2019-02-14 06:00:00,0.0,0.0,0.001,19.953,0.0,0.0,0.21495833333333333,0.16602380952380955,0.0,0.001,0.001,0.075875,0.09010714285714286,0.0,-0.06899999999999906,0.013000000000001677,21.856416666666664,24.654309523809523,-0.0
1065,2019-02-14 07:00:00,0.03,0.0,0.049,20.676,0.0,0.0,0.21495833333333333,0.16602380952380955,0.0,0.048,0.047,0.075625,0.0900595238095238,48.0,0.722999999999999,0.791999999999998,21.887625,24.65632738095238,0.04
1066,2019-02-14 08:00:00,0.202,0.151,0.093,21.996,0.151,0.151,0.21824999999999997,0.16595833333333335,0.0,0.044,-0.0040000000000000036,0.07383333333333333,0.09009523809523809,0.9,1.3200000000000003,0.5970000000000013,21.927125,24.65742261904762,0.06
1067,2019-02-14 09:00:00,0.408,0.385,0.107,23.108,0.234,0.08300000000000002,0.2231666666666667,0.1658988095238095,1.55,0.013999999999999999,-0.03,0.07158333333333333,0.0901309523809524,0.15,1.1120000000000019,-0.2079999999999984,21.977249999999998,24.65598214285714,0.05
1068,2019-02-14 10:00:00,0.577,0.604,0.117,24.113,0.21899999999999997,-0.015000000000000041,0.227,0.16582142857142856,0.57,0.010000000000000009,-0.00399999999999999,0.07,0.09017857142857143,0.09,1.004999999999999,-0.10700000000000287,22.037791666666667,24.65265476190476,0.04
1069,2019-02-14 11:00:00,0.684,0.75,0.132,24.949,0.14600000000000002,-0.07299999999999995,0.2310833333333333,0.16561309523809525,0.24,0.015,0.0049999999999999906,0.06849999999999999,0.09026190476190477,0.13,0.8360000000000021,-0.16899999999999693,22.108666666666664,24.647851190476196,0.03
1070,2019-02-14 12:00:00,0.742,0.833,0.145,25.582,0.08299999999999996,-0.06300000000000006,0.23254166666666665,0.16529166666666667,0.11,0.012999999999999984,-0.0020000000000000157,0.06791666666666667,0.09038690476190477,0.1,0.6329999999999991,-0.20300000000000296,22.182625,24.641988095238098,0.03
1071,2019-02-14 13:00:00,0.732,0.797,0.167,25.968,-0.03599999999999992,-0.11899999999999988,0.23116666666666666,0.16465476190476191,-0.04,0.02200000000000002,0.009000000000000036,0.06825,0.09061309523809524,0.15,0.38599999999999923,-0.2469999999999999,22.255625,24.63591071428571,0.02
1072,2019-02-14 14:00:00,0.685,0.709,0.181,26.159,-0.08800000000000008,-0.05200000000000016,0.2293333333333333,0.16380357142857144,-0.11,0.013999999999999985,-0.008000000000000035,0.06870833333333333,0.09092261904761904,0.08,0.19099999999999895,-0.19500000000000028,22.328999999999997,24.630339285714285,0.01
1073,2019-02-14 15:00:00,0.585,0.545,0.194,26.074,-0.16399999999999992,-0.07599999999999985,0.23020833333333335,0.16270833333333332,-0.23,0.013000000000000012,-0.0009999999999999731,0.06825,0.09133333333333334,0.07,-0.0849999999999973,-0.27599999999999625,22.403791666666667,24.625142857142855,-0.0
1074,2019-02-14 16:00:00,0.463,0.389,0.182,25.787,-0.15600000000000003,0.007999999999999896,0.231375,0.16179761904761905,-0.29,-0.01200000000000001,-0.025000000000000022,0.06770833333333333,0.09169642857142858,-0.06,-0.2870000000000026,-0.2020000000000053,22.478958333333335,24.620410714285715,-0.01
1075,2019-02-14 17:00:00,0.325,0.249,0.145,25.362,-0.14,0.016000000000000014,0.23079166666666664,0.16135119047619048,-0.36,-0.037000000000000005,-0.024999999999999994,0.06791666666666667,0.09189880952380952,-0.2,-0.4250000000000007,-0.13799999999999812,22.551875,24.61644642857143,-0.02
